건물용도코드,건물종류,건물일련번호,가점척도,lon,lat
3102,경찰서,11225,3,970191.4571,1956642.564
3102,경찰서,11197,3,971020.104,1956976.657
3102,경찰서,11199,3,970991.4927,1956944.091
3102,경찰서,11200,3,971000.8711,1956918.781
3102,경찰서,11201,3,971027.8696,1956927.641
3102,경찰서,11202,3,971040.2058,1956912.715
3102,경찰서,11194,3,971042.8532,1957002.711
3102,경찰서,11198,3,971016.5541,1957012.367
3102,경찰서,11193,3,971057.2234,1956974.146
3102,경찰서,44490,3,974391.8102,1954258.234
3102,경찰서,44495,3,974402.866,1954265.567
3102,경찰서,44492,3,974401.4689,1954261.854
3102,경찰서,44496,3,974391.4113,1954263.932
3102,경찰서,9626,3,982968.0487,1961473.701
3102,경찰서,38226,3,974370.6128,1959473.677
3102,경찰서,47807,3,977819.1209,1961773.669
7101,종합병원,10847,3,973989.7572,1959383.289
7101,종합병원,17873,3,982744.2735,1961399.767
7101,종합병원,455,3,978993.8178,1961532.63
7101,종합병원,454,3,978983.7118,1961548.089
7101,종합병원,456,3,978999.8128,1961499.039
7101,종합병원,420,3,971787.9652,1968476.007
7101,종합병원,11921,3,982470.7216,1961734.943
7101,종합병원,8222,3,971767.9134,1968502.472
7101,종합병원,10531,3,968325.0662,1961091.374
7101,종합병원,66167,3,973933.1018,1964794.534
7101,종합병원,66168,3,973950.503,1964839.62
7101,종합병원,26951,3,973495.7206,1967356.832
6203,대형판매점,11462,3,980739.5247,1961915.445
6203,대형판매점,11427,3,983177.4616,1961200.459
6203,대형판매점,11405,3,983416.015,1961261.815
6203,대형판매점,11399,3,983631.0778,1961312.316
6203,대형판매점,11394,3,983667.0608,1961333.45
6203,대형판매점,11396,3,983603.3704,1961323.842
6203,대형판매점,11395,3,983652.4548,1961316.287
6203,대형판매점,11393,3,983648.3247,1961362.567
6203,대형판매점,44180,3,974058.7677,1971932.987
6203,대형판매점,44186,3,974179.3377,1971914.466
6203,대형판매점,44184,3,974125.1439,1971939.236
6203,대형판매점,44185,3,974202.6312,1971898.53
6203,대형판매점,44187,3,974153.4139,1971935.495
6203,대형판매점,44188,3,974133.5991,1971921.956
6203,대형판매점,52372,3,977335.4469,1961758.973
6203,대형판매점,12124,3,984718.8614,1967191.95
6203,대형판매점,12123,3,984709.6325,1967173.48
6203,대형판매점,67291,3,967002.291,1960436.017
6203,대형판매점,33472,3,974827.8276,1953980.9
6203,대형판매점,33470,3,974750.7144,1953961.358
6203,대형판매점,33471,3,974792.9469,1953952.682
6203,대형판매점,8187,3,971875.9643,1968717.571
6203,대형판매점,8107,3,972668.0593,1969451.569
6203,대형판매점,6990,3,971614.0513,1962393.698
6203,대형판매점,7110,3,973773.1398,1963783.471
6203,대형판매점,7220,3,974815.7791,1965706.176
6203,대형판매점,60195,3,985739.4019,1955150.926
6203,대형판매점,652,3,982805.3242,1961243.387
6203,대형판매점,62877,3,972838.195,1969638.101
6203,대형판매점,623,3,982709.2269,1961221.83
6203,대형판매점,104,3,966365.8123,1967748.818
4023,복합유통.제공업소,20699,3,983157.7439,1961343.993
4023,복합유통.제공업소,40267,3,966083.9093,1967599.976
4023,복합유통.제공업소,21370,3,982767.9204,1959402.438
6204,대형점,10215,3,972610.6619,1969133.871
6204,대형점,10214,3,972557.484,1969173.653
6204,대형점,2699,3,971973.1231,1967742.582
6204,대형점,130,3,965781.3843,1967824.257
