주차장명,총주차면수,경도,위도
금곡 제1공영,24,127.1983722,37.6329885
도농 제1공영,27,127.1523838,37.6100781
별내동 제1공영,54,127.1258,37.6558
별내면 제1공영,27,127.1063698,37.7052001
별내면 제2공영,30,127.111813,37.708017
사릉 제1공영,92,127.1791,37.6503
사릉 제2공영,118,127.1755,37.6525
양정 제1공영,35,127.1924033,37.60634
양정 제2공영,150,127.1979176,37.6187825
오남 제1공영,136,127.198788,37.694439
와부 제1공영,32,127.21303,37.5862486
와부 제2공영,31,127.2119678,37.5853783
와부 제3공영,93,127.2226567,37.5796319
와부 제4공영,34,127.2459639,37.5450812
지금 제1공영,47,127.157728,37.6051193
지금 제2공영,80,127.1579811,37.6048522
진건 제1공영,18,127.1759127,37.6576462
진건 제2공영,44,127.1795043,37.6544801
진접 제1공영,120,127.2084008,37.7448688
진접 제2공영,104,127.2016353,37.7453527
진접 제3공영,48,127.1926616,37.7256221
진접 제4공영,40,127.199637,37.7414387
퇴계원 둔치 공영,72,127.1446406,37.6493492
퇴계원 제2공영,36,127.1430397,37.6512216
퇴계원 제3공영,128,127.1423846,37.6476076
평내 제1공영,30,127.236291,37.6481525
평내 제2공영,258,127.2429714,37.6535304
호평 제1공영,63,127.2519129,37.6704212
화도 제1공영,111,127.3029941,37.6531644
화도 제2공영,76,127.3020889,37.6533083
화도 제3공영,29,127.3079476,37.652939
화도 제4공영,55,127.306647,37.6519225
화도 제5공영,29,127.3028873,37.6570029
화도 제6공영,37,127.3085481,37.6523608
화도 제7공영,44,127.3039,37.651
천마산역 공영,82,127.283448,37.65847
금곡 노상제1,17,127.2160686,37.6362478
금곡 노상제2,12,127.2138381,37.6359744
금곡 노상제3,43,127.2058095,37.6349688
금곡 노상제4,15,127.2020851,37.6268483
금곡 노상제6,15,127.2020851,37.6268483
금곡 노상제7,19,127.20787,37.633426
금곡 노상제8,17,127.211713,37.634527
도농 노상제1,11,127.1573637,37.6063703
별내동 노상제1,48,127.1218,37.6487
별내동 노상제2,11,127.1235,37.6485
별내동 노상제3,23,127.1235,37.6473
별내동 노상제4,18,127.1218,37.6473
별내동 노상제5,26,127.1217,37.6457
별내동 노상제6,55,127.125,37.6458
별내동 노상제7,34,127.120431,37.653321
별내동 노상제8,19,127.113304,37.649441
별내동 노상제9,41,127.111995,37.6508
별내동 노상제10,45,127.128025,37.659834
별내면 노상제1,86,127.1193785,37.7076023
별내면 노상제2,81,127.1149946,37.7093221
별내면 노상제3,36,127.1189335,37.7073577
별내면 노상제4,17,127.1200594,37.710737
별내면 노상제5,22,127.11272,37.7110181
별내면 노상제6,19,127.1150376,37.7107312
와부 노상제1,28,127.2141496,37.5849923
와부 노상제2,39,127.2065631,37.5863249
와부 노상제3,6,127.2232,37.591331
와부 노상제4,22,127.209651,37.58337
지금 노상제1,19,127.156391,37.6047823
지금 노상제2,18,127.1557468,37.6043362
진접 노상제1,54,127.1804091,37.7155109
진접 노상제2,37,127.2023,37.7449
진접 노상제3,43,127.1840364,37.7183452
진접 노상제4,77,127.1976917,37.7147408
진접 노상제5,58,127.195835,37.7211805
진접 노상제6,13,127.2092371,37.7243288
진접 노상제7,35,127.1870141,37.7117454
진접 노상제8,25,127.166059,37.704739
진접 노상제9,5,127.187344,37.711149
퇴계원 노상제1,7,127.1452592,37.6551003
퇴계원 노상제2,36,127.1447455,37.6496806
평내 노상제1,19,127.2344212,37.6459506
평내 노상제2,13,127.238268,37.6484008
평내 노상제3,20,127.237564,37.647492
호평 노상제1,36,127.2441097,37.6550885
호평 노상제2,15,127.254685,37.656305
화도 노상제2,19,127.3039643,37.649868
화도 노상제3,38,127.3019862,37.6572322
화도 노상제4,9,127.3057655,37.6536078
